chainid,chainnname,storeid,storename,address,latitude,longitude
7290058140886,רמי לוי שיווק השקמה,1,תלפיות,"האומן 15, ירושלים",31.749544,35.2104684
7290058140886,רמי לוי שיווק השקמה,2,בזק מחסני מזון,"יד חרוצים 18 ,תלפיות",31.7510535,35.2160012
7290058140886,רמי לוי שיווק השקמה,3,רמות,"דרך החורש 90 ,רמות",31.8095859,35.1931434
7290058140886,רמי לוי שיווק השקמה,5,רב מכר,"הפרסה 3, ירושלים",31.7509161,35.2102152
7290058140886,רמי לוי שיווק השקמה,6,מישור אדומים,"איתם 1, מעלה אדומים",31.7929399,35.334543
7290058140886,רמי לוי שיווק השקמה,8,שער בנימין,שער בנימין,31.865575,35.261645
7290058140886,רמי לוי שיווק השקמה,9,קסיטנה,באר טוביה,31.7274862,34.745636
7290058140886,רמי לוי שיווק השקמה,11,עפולה,"יהושוע חנקין 14, עפולה",32.604206,35.2940885
7290058140886,רמי לוי שיווק השקמה,12,ביתר עלית,החוזה מלובלין 2 ביתר עלית,31.6995959,35.1081854
7290058140886,רמי לוי שיווק השקמה,13,גבעת שאול,"בית הדפוס 13, גבעת שאול",31.7861628,35.1873616
7290058140886,רמי לוי שיווק השקמה,14,טבריה,צומת פוריה טבריה,32.786036,35.495903
7290058140886,רמי לוי שיווק השקמה,15,נשר,דרך בר יהודה נשר,32.7704924,35.0475465
7290058140886,רמי לוי שיווק השקמה,16,מודיעין חדש,צומת שילת,31.9105691,35.0159428
7290058140886,רמי לוי שיווק השקמה,16,רמת גן  איילון,מבצע קדש 66 רמת גן,32.1016527,34.8298473
7290058140886,רמי לוי שיווק השקמה,17,ראש העין,צומת קסם,32.105977,34.9477545
7290058140886,רמי לוי שיווק השקמה,19,אדמרליטי,חלוצי התעשיה 73 חיפה,32.8191191,35.0540626
7290058140886,רמי לוי שיווק השקמה,20,זכרון יעקב,קניון זכרון יעקב,32.5710555,34.938223
7290058140886,רמי לוי שיווק השקמה,22,כנפי נשרים,"כנפי נשרים 26, גבעת שאול",31.7875217,35.1827822
7290058140886,רמי לוי שיווק השקמה,23,גוש עציון,צומת גוש עציון,31.6482399,35.1317455
7290058140886,רמי לוי שיווק השקמה,24,נתניה,רח האורזים 2 נתניה,32.3228003,34.8720751
7290058140886,רמי לוי שיווק השקמה,25,מודעין ישפרו,"מתחם ישפרו סנטר, מודיעין",31.8881164,34.9626697
7290058140886,רמי לוי שיווק השקמה,26,אשדוד,רח היהלומים אשדוד,31.815582,34.660299
7290058140886,רמי לוי שיווק השקמה,27,באר שבע,"רח הל""ע קניון מול 7 באר שבע",31.2343371,34.7945349
7290058140886,רמי לוי שיווק השקמה,28,עכו,רח בולטימור 2 עכו,32.89923,35.086629
7290058140886,רמי לוי שיווק השקמה,29,פרדס חנה ביג,רח תדהר פרדס חנה,32.4885974,34.9707156
7290058140886,רמי לוי שיווק השקמה,30,קדימה,רח הזרם 2 קדימה צורן,32.1730471,34.9270714
7290058140886,רמי לוי שיווק השקמה,31,נתיבות,בית הגדי נתיבות,31.9158147,35.023706
7290058140886,רמי לוי שיווק השקמה,32,נהריה,נהריה,33.0326758,35.1035005
7290058140886,רמי לוי שיווק השקמה,33,כפר סבא,רח גלגלי הפלדה 5 ,32.1728483,34.9267064
7290058140886,רמי לוי שיווק השקמה,34,פתח תקווה,רח הסיבים 37 פתח תקווה,32.0871858,34.8564853
7290058140886,רמי לוי שיווק השקמה,35,אשקלון,רח הנפח אשקלון,31.635733,34.552176
7290058140886,רמי לוי שיווק השקמה,36,כרמיאל,כרמיאל רחוב היוצרים 7,32.9234746,35.3086227
7290058140886,רמי לוי שיווק השקמה,37,נתניה חדש,רח המחקר נתניה,32.2905739,34.86307
7290058140886,רמי לוי שיווק השקמה,38,קרית שמונה,איזור תעשיה צפוני קרית שמונה,33.2248212,35.584697
