chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode,xmldocversion,lastupdatetime,latitude,longitude,,,,
7290725900003,09/06/2015 17:24,0,1,0,1,יינות ביתן מרכז הרשת,,01 חאן,הרצל 33,אשקלון,78601,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,3,0,1,יינות ביתן מרכז הרשת,,03 ראשלצ,שמוטקין 29,ראשון לציון,7536332,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,4,0,1,יינות ביתן מרכז הרשת,,04 צפוני,הפנינים 38 ת.ד 125,אשקלון,7810101,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,5,0,1,יינות ביתן מרכז הרשת,,05 חולון ביתן,דוד שאלתיאל 16,חולון,5845116,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,6,0,1,יינות ביתן מרכז הרשת,,06 א.ת אשדוד,האורגים 13,אשדוד,7760924,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,7,0,1,יינות ביתן מרכז הרשת,,07 סיטי אשדוד,הבנים 3,אשדוד,7744402,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,8,0,1,יינות ביתן מרכז הרשת,,08 כ-חנ קריית שמונה,שדרות תל חי 93,קריית שמונה,1103021,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,9,0,1,יינות ביתן מרכז הרשת,,09 רעננה,זרחין 12,רעננה,4366240,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,10,0,1,יינות ביתן מרכז הרשת,,10 כפר סבא,,,,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,11,0,1,יינות ביתן מרכז הרשת,,11 ראש העין,המרץ 13,ראש העין,4801713,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,12,0,1,יינות ביתן מרכז הרשת,,12 פתח תקוה,בר כוכבא 63,פתח תקווה,4922055,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,13,0,1,יינות ביתן מרכז הרשת,,13 אייר פורט סיטי,,,,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,14,0,1,יינות ביתן מרכז הרשת,,14 אלפי מנשה,חלוצי התעשייה 9,אלפי מנשה,4485100,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,15,0,1,יינות ביתן מרכז הרשת,,15 נתניה,הפלדה 13,נתניה,4237823,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,16,0,1,יינות ביתן מרכז הרשת,,16 מעלה אדומים,צמח השדה 29,מעלה אדומים,9853636,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,17,0,1,יינות ביתן מרכז הרשת,,17 חולון הסיירים,המרכבה 73,חולון,5885140,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,18,0,1,יינות ביתן מרכז הרשת,,18 חדרה,צהל,חדרה,3822013,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,19,0,1,יינות ביתן מרכז הרשת,,19 תל מונד,בני דרור,תל מונד,0,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,20,0,1,יינות ביתן מרכז הרשת,,20 הרצלה א.תעשיה,החושלים 3,הרצליה,4672403,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,21,0,1,יינות ביתן מרכז הרשת,,21 ראשלצ לישנסקי,לישנסקי 18,ראשון לציון,7565033,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,22,0,1,יינות ביתן מרכז הרשת,,22 רחובות שוק,האלוף יעקב פרי 1,רחובות,0,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,30,0,1,יינות ביתן מרכז הרשת,,30 אילת,חטיבת גולני 41,אילת,8852607,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,31,0,1,יינות ביתן מרכז הרשת,,31 אילת צפוני,ברקת 13,אילת,8854038,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,33,0,1,יינות ביתן מרכז הרשת,,33 כ-חנ בית שמש,יגאל אלון 1,בית שמש,9906201,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,34,0,1,יינות ביתן מרכז הרשת,,34 כ-חנ רחובות,אופמהיימר 10,רחובות,7670110,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,35,0,1,יינות ביתן מרכז הרשת,,35 כ-חנ ירקונים,ירקונים 50,פתח תקווה,4927134,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,36,0,1,יינות ביתן מרכז הרשת,,36 כ-חנ עפולה,קהילת ציון 1,עפולה,1830101,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,37,0,1,יינות ביתן מרכז הרשת,,37 כ-חנ אור יהודה,המפעל 13,אור יהודה,6022113,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,38,0,1,יינות ביתן מרכז הרשת,,38 כ-חנ טבריה,יהודה הלוי 113,טבריה,1421636,NA,NA,,,,,,
