"chainid","lastupdatedate","subchainid","storeid","bikoretno","storetype","chainname","subchainname","storename","address","city","zipcode","xmldocversion","lastupdatetime","latitude","longitude","address.full","chainname_en","provider"
7290725900003,"09/06/2015 17:24",0,1,0,1,"יינות ביתן מרכז הרשת","","01 חאן","הרצל 33","אשקלון","78601",NA,NA,31.6651632,34.5868148,"הרצל 33,אשקלון","bitan","private"
7290725900003,"09/06/2015 17:24",0,3,0,1,"יינות ביתן מרכז הרשת","","03 ראשלצ","שמוטקין 29","ראשון לציון","7536332",NA,NA,31.9793014,34.8126846,"שמוטקין 29,ראשון לציון","bitan","private"
7290725900003,"09/06/2015 17:24",0,4,0,1,"יינות ביתן מרכז הרשת","","04 צפוני","הפנינים 38 ת.ד 125","אשקלון","7810101",NA,NA,31.6685237,34.6016297,"הפנינים 38 ת.ד 125,אשקלון","bitan","private"
7290725900003,"09/06/2015 17:24",0,5,0,1,"יינות ביתן מרכז הרשת","","05 חולון ביתן","דוד שאלתיאל 16","חולון","5845116",NA,NA,32.0028927,34.7723008,"דוד שאלתיאל 16,חולון","bitan","private"
7290725900003,"09/06/2015 17:24",0,6,0,1,"יינות ביתן מרכז הרשת","","06 א.ת אשדוד","האורגים 13","אשדוד","7760924",NA,NA,31.8116995,34.6596315,"האורגים 13,אשדוד","bitan","private"
7290725900003,"09/06/2015 17:24",0,7,0,1,"יינות ביתן מרכז הרשת","","07 סיטי אשדוד","הבנים 3","אשדוד","7744402",NA,NA,31.794757,34.6394161,"הבנים 3,אשדוד","bitan","private"
7290725900003,"09/06/2015 17:24",0,8,0,1,"יינות ביתן מרכז הרשת","","08 כ-חנ קריית שמונה","שדרות תל חי 93","קריית שמונה","1103021",NA,NA,33.2100076,35.5701054,"שדרות תל חי 93,קריית שמונה","bitan","private"
7290725900003,"09/06/2015 17:24",0,9,0,1,"יינות ביתן מרכז הרשת","","09 רעננה","זרחין 12","רעננה","4366240",NA,NA,32.1956426,34.8826528,"זרחין 12,רעננה","bitan","private"
7290725900003,"09/06/2015 17:24",0,10,0,1,"יינות ביתן מרכז הרשת","","10 כפר סבא","","","",NA,NA,32.175873,34.934006,",","bitan","private"
7290725900003,"09/06/2015 17:24",0,11,0,1,"יינות ביתן מרכז הרשת","","11 ראש העין","המרץ 13","ראש העין","4801713",NA,NA,32.1057762,34.9391184,"המרץ 13,ראש העין","bitan","private"
7290725900003,"09/06/2015 17:24",0,12,0,1,"יינות ביתן מרכז הרשת","","12 פתח תקוה","בר כוכבא 63","פתח תקווה","4922055",NA,NA,32.0967422,34.8857209,"בר כוכבא 63,פתח תקווה","bitan","private"
7290725900003,"09/06/2015 17:24",0,13,0,1,"יינות ביתן מרכז הרשת","","13 אייר פורט סיטי","","","",NA,NA,31.985969,34.915184,",","bitan","private"
7290725900003,"09/06/2015 17:24",0,14,0,1,"יינות ביתן מרכז הרשת","","14 אלפי מנשה","חלוצי התעשייה 9","אלפי מנשה","4485100",NA,NA,32.1695526,34.9963362,"חלוצי התעשייה 9,אלפי מנשה","bitan","private"
7290725900003,"09/06/2015 17:24",0,15,0,1,"יינות ביתן מרכז הרשת","","15 נתניה","הפלדה 13","נתניה","4237823",NA,NA,32.3179825,34.8777439,"הפלדה 13,נתניה","bitan","private"
7290725900003,"09/06/2015 17:24",0,16,0,1,"יינות ביתן מרכז הרשת","","16 מעלה אדומים","צמח השדה 29","מעלה אדומים","9853636",NA,NA,31.7671393,35.3018083,"צמח השדה 29,מעלה אדומים","bitan","private"
7290725900003,"09/06/2015 17:24",0,17,0,1,"יינות ביתן מרכז הרשת","","17 חולון הסיירים","המרכבה 73","חולון","5885140",NA,NA,32.0029703,34.8046261,"המרכבה 73,חולון","bitan","private"
7290725900003,"09/06/2015 17:24",0,18,0,1,"יינות ביתן מרכז הרשת","","18 חדרה","צהל","חדרה","3822013",NA,NA,32.443089,34.9389648,"צהל,חדרה","bitan","private"
7290725900003,"09/06/2015 17:24",0,19,0,1,"יינות ביתן מרכז הרשת","","19 תל מונד","בני דרור","תל מונד","0",NA,NA,32.2502328,34.9248736,"בני דרור,תל מונד","bitan","private"
7290725900003,"09/06/2015 17:24",0,20,0,1,"יינות ביתן מרכז הרשת","","20 הרצלה א.תעשיה","החושלים 3","הרצליה","4672403",NA,NA,32.1584071,34.8072119,"החושלים 3,הרצליה","bitan","private"
7290725900003,"09/06/2015 17:24",0,21,0,1,"יינות ביתן מרכז הרשת","","21 ראשלצ לישנסקי","לישנסקי 18","ראשון לציון","7565033",NA,NA,31.9920574,34.7667982,"לישנסקי 18,ראשון לציון","bitan","private"
7290725900003,"09/06/2015 17:24",0,22,0,1,"יינות ביתן מרכז הרשת","","22 רחובות שוק","האלוף יעקב פרי 1","רחובות","0",NA,NA,31.8969036,34.7857047,"האלוף יעקב פרי 1,רחובות","bitan","private"
7290725900003,"09/06/2015 17:24",0,30,0,1,"יינות ביתן מרכז הרשת","","30 אילת","חטיבת גולני 41","אילת","8852607",NA,NA,29.5657849,34.9552637,"חטיבת גולני 41,אילת","bitan","private"
7290725900003,"09/06/2015 17:24",0,31,0,1,"יינות ביתן מרכז הרשת","","31 אילת צפוני","ברקת 13","אילת","8854038",NA,NA,29.5499377,34.9473111,"ברקת 13,אילת","bitan","private"
