code,head,sub,cpi_weight,weight
120042,ירקות ופירות,ירקות טריים,13.16,0.096558808
120043,ירקות ופירות,פירות טריים,8.46,0.06207352
120046,ירקות ופירות,"ירקות קפואים,
 כבושים ומשומרים",3.51,0.025753907
120047,ירקות ופירות,פירות משומרים ויבשים,3.37,0.024726686
120070,"לחם, דגנים ומוצרי בצק",לחם,7.36,0.054002495
120080,"לחם, דגנים ומוצרי בצק","ביסקוויטים, עוגות
 וכו‘",7.84,0.057524397
120090,"לחם, דגנים ומוצרי בצק",קמח,0.99,0.007263923
120100,"לחם, דגנים ומוצרי בצק",מוצרי בצק,3.41,0.025020178
120110,"לחם, דגנים ומוצרי בצק",דגן ומוצרי דגן,4.47,0.032797711
120120,ביצים,ביצים,2.82,0.020691173
120140,"בשר, עופות, דגים
 ומוצריהם",בשר בקר,7.63,0.055983564
120150,"בשר, עופות, דגים
 ומוצריהם","בשר בהמה אחר (כבש, חזיר וכד)",1.7,0.012473402
120160,"בשר, עופות, דגים
 ומוצריהם",עופות,12.67,0.092963534
120170,"בשר, עופות, דגים
 ומוצריהם",בשר משומר ומעובד,4.85,0.035585883
120180,"בשר, עופות, דגים
 ומוצריהם",דגים,4.51,0.033091203
120190,"בשר, עופות, דגים
 ומוצריהם","שימורי דגים
 ודגים מעובדים",1.79,0.013133759
120210,שמנים ומרגרינה,שמנים וכו,2.77,0.020324308
120220,שמנים ומרגרינה,מרגרינה,0.26,0.001907697
120240,חלב ומוצרי חלב,חלב,5,0.036686477
120250,חלב ומוצרי חלב,"לבן, יוגורט
 ומעדני חלב",4.8,0.035219018
120260,חלב ומוצרי חלב,שמנת,0.97,0.007117177
120270,חלב ומוצרי חלב,חמאה,0.58,0.004255631
120280,חלב ומוצרי חלב,גבינה,7.38,0.054149241
120285,חלב ומוצרי חלב,גלידה,1.45,0.010639078
120300,מוצרי מזון שונים,"תבלינים, מוצרים לעוגה
 ומזון לתינוקות",4.52,0.033164576
120310,מוצרי מזון שונים,תה,0.62,0.004549123
120320,מוצרי מזון שונים,קפה,2.24,0.016435542
120330,מוצרי מזון שונים,קקאו,0.17,0.00124734
120350,משקאות,משקאות קלים,6.74,0.049453371
120360,משקאות,משקאות אלכוהולים,4.07,0.029862793
120380,"סוכר, ריבה וממתקים",סוכר ותחליפיו,0.68,0.004989361
120390,"סוכר, ריבה וממתקים","ריבה, דבש וכו",0.63,0.004622496
120400,"סוכר, ריבה וממתקים",ממתקים ושוקולד,2.8,0.020544427
150315,מוצרי מזון שונים,סלטים מוכנים,2.07,0.015188202
