code,head,sub,cpi_weight,weight
120070,"לחם, דגנים ומוצרי בצק",לחם,7.36,0.044061303
120080,"לחם, דגנים ומוצרי בצק","ביסקוויטים, עוגות
 וכו‘",7.84,0.046934866
120090,"לחם, דגנים ומוצרי בצק",קמח,0.99,0.005926724
120100,"לחם, דגנים ומוצרי בצק",מוצרי בצק,3.41,0.020414272
120110,"לחם, דגנים ומוצרי בצק",דגן ומוצרי דגן,4.47,0.026760057
120140,"בשר, עופות, דגים
 ומוצריהם",בשר בקר,7.63,0.045677682
120150,"בשר, עופות, דגים
 ומוצריהם","בשר בהמה אחר (כבש, חזיר וכד)",1.7,0.010177203
120160,"בשר, עופות, דגים
 ומוצריהם",עופות,12.67,0.075850096
120170,"בשר, עופות, דגים
 ומוצריהם",בשר משומר ומעובד,4.85,0.029034962
120180,"בשר, עופות, דגים
 ומוצריהם",דגים,4.51,0.026999521
120190,"בשר, עופות, דגים
 ומוצריהם","שימורי דגים
 ודגים מעובדים",1.79,0.010715996
120210,שמנים ומרגרינה,שמנים וכו,2.77,0.016582854
120220,שמנים ומרגרינה,מרגרינה,0.26,0.001556513
120240,חלב ומוצרי חלב,חלב,5,0.02993295
120250,חלב ומוצרי חלב,"לבן, יוגורט
 ומעדני חלב",4.8,0.028735632
120260,חלב ומוצרי חלב,שמנת,0.97,0.005806992
120270,חלב ומוצרי חלב,חמאה,0.58,0.003472222
120280,חלב ומוצרי חלב,גבינה,7.38,0.044181034
120285,חלב ומוצרי חלב,גלידה,1.45,0.008680556
120120,ביצים,ביצים,2.82,0.016882184
120380,"סוכר, ריבה וממתקים",סוכר ותחליפיו,0.68,0.004070881
120390,"סוכר, ריבה וממתקים","ריבה, דבש וכו",0.63,0.003771552
120400,"סוכר, ריבה וממתקים",ממתקים ושוקולד,2.8,0.016762452
120350,משקאות,משקאות קלים,6.74,0.040349617
120360,משקאות,משקאות אלכוהולים,4.07,0.024365421
120300,מוצרי מזון שונים,"תבלינים, מוצרים לעוגה
 ומזון לתינוקות",4.52,0.027059387
120310,מוצרי מזון שונים,תה,0.62,0.003711686
120320,מוצרי מזון שונים,קפה,2.24,0.013409962
120330,מוצרי מזון שונים,קקאו,0.17,0.00101772
150315,מוצרי מזון שונים,סלטים מוכנים,2.07,0.012392241
120420,ארוחות מחוץ לבית,ארוחות בעבודה,2.01,0.012033046
120430,ארוחות מחוץ לבית,"ארוחות במסעדות
 ובבתי קפה",25.82,0.154573755
120440,ארוחות מחוץ לבית,"מצרכים בקיוסקים
 ובחנויות נוחות",2.92,0.017480843
120042,ירקות ופירות,ירקות טריים,13.16,0.078783525
120043,ירקות ופירות,פירות טריים,8.46,0.050646552
120046,ירקות ופירות,"ירקות קפואים,
 כבושים ומשומרים",3.51,0.021012931
120047,ירקות ופירות,פירות משומרים ויבשים,3.37,0.020174808
