"type","url","ChainId","SubChainId","StoreId","BikoretNo","PriceUpdateDate","PriceUpdateTime","ItemCode","ItemType","ItemName","ManufacturerName","ManufacturerItemCountry","ManufacturerItemDescription","UnitQty","Quantity","UnitOfMeasure","BlsWeighted","QtyInPackage","ItemPrice","UnitOfMeasurePrice","AllowDiscount","ItemStatus","StoreType","ChainName","SubChainName","StoreName","Address","City","ZipCode","LastUpdateDate","LastUpdateTime"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0132-201505211151.gz","7290055700007","5","13","2","2015-05-21","08:19:33","325","0","פטריות בתפזורת","","","פטריות בתפזורת","קילוגרם","1.000","קילוגרם","1","0","34.90",".00","1","1","1","רשת מגה","מגה בעיר","מב. ויצמן תל אביב","20 ויצמן","תל-אביב","200411","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0132-201505211151.gz","7290055700007","5","13","2","2015-05-21","08:19:33","579","0","6.5 נקטרינה","","","6.5 נקטרינה","קילוגרם","1.000","קילוגרם","1","0","14.90",".00","1","1","1","רשת מגה","מגה בעיר","מב. ויצמן תל אביב","20 ויצמן","תל-אביב","200411","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0132-201505211151.gz","7290055700007","5","13","2","2015-05-21","08:19:18","665","0","7 ת""ע קריפס פינק","","","7 ת""ע קריפס פינק","קילוגרם","1.000","קילוגרם","1","0","16.90",".00","1","1","1","רשת מגה","מגה בעיר","מב. ויצמן תל אביב","20 ויצמן","תל-אביב","200411","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0132-201505211151.gz","7290055700007","5","13","2","2015-05-21","08:19:33","742","0","ענב לבן","","","ענב לבן","קילוגרם",".500","קילוגרם","1","0","26.90",".00","1","1","1","רשת מגה","מגה בעיר","מב. ויצמן תל אביב","20 ויצמן","תל-אביב","200411","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0183-201505211151.gz","7290055700007","5","18","3","2015-05-21","11:24:48","7290000646091","0","","","","חזה הודו טרי ארוז לק""ג","קילוגרם","1.000","קילוגרם","1","0","25.90",".00","1","1","1","רשת מגה","מגה בעיר","מב. עוזיאל בת-ים","5 עוזיאל","בת-ים","200406","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0183-201505211348.gz","7290055700007","5","18","3","2015-05-21","11:47:49","604","0","6 אגס","","","6 אגס","קילוגרם","1.000","קילוגרם","1","0","10.90",".00","1","1","1","רשת מגה","מגה בעיר","מב. עוזיאל בת-ים","5 עוזיאל","בת-ים","200406","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0183-201505211348.gz","7290055700007","5","18","3","2015-05-21","11:48:26","665","0","7 ת""ע קריפס פינק","","","7 ת""ע קריפס פינק","קילוגרם","1.000","קילוגרם","1","0","16.90",".00","1","1","1","רשת מגה","מגה בעיר","מב. עוזיאל בת-ים","5 עוזיאל","בת-ים","200406","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0183-201505211348.gz","7290055700007","5","18","3","2015-05-21","11:47:49","742","0","ענב לבן","","","ענב לבן","קילוגרם",".500","קילוגרם","1","0","26.90",".00","1","1","1","רשת מגה","מגה בעיר","מב. עוזיאל בת-ים","5 עוזיאל","בת-ים","200406","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0183-201505211348.gz","7290055700007","5","18","3","2015-05-21","11:47:51","7290013906809","1","נקניקיות מרגז 320 גרם","","","נקניקיות מרגז 320 גרם","גרם",".320","100 גרם","0","1","19.90","6.22","1","1","1","רשת מגה","מגה בעיר","מב. עוזיאל בת-ים","5 עוזיאל","בת-ים","200406","20150521","10603"
"Price","http://publishprice.mega.co.il/20150521/Price7290055700007-0329-201505211052.gz","7290055700007","5","32","9","2015-05-21","09:54:53","7290004011284","1","בסיס להכנת קצפת 212 מ""ל","","","בסיס להכנת קצפת 212 מ""ל","מיליליטר",".212","100 מילילי","0","1","7.90","3.73","1","1","1","רשת מגה","מגה בעיר","מב. נאות רחל","21 קדושי קהיר","חולון","200406","20150521","10603"
